,Solic,prediccion
380,95622,0
381,95630,0
382,95644,1
383,95650,0
384,95656,1
385,95668,1
386,95672,0
387,95682,0
388,95688,0
389,95694,0
390,95700,1
391,95702,0
392,95708,0
393,95710,0
394,95712,1
395,95738,0
396,95746,0
397,95762,0
398,95766,0
399,95768,0
400,95772,1
401,95776,0
402,95778,0
403,95780,0
404,95784,0
405,95808,0
406,95822,1
407,95828,0
408,95834,0
409,95856,0
410,95858,0
411,95876,0
412,95882,1
413,95888,0
414,95894,1
415,95906,0
416,95912,0
417,95924,0
418,95932,0
419,95938,0
420,95942,0
421,95982,0
422,95986,0
423,96004,0
424,96008,0
425,96020,0
426,96022,0
427,96026,0
428,96028,0
429,96036,0
430,96046,0
431,96052,0
432,96056,0
433,96058,0
434,96070,0
435,96074,0
436,96076,0
437,96080,0
438,96088,1
439,96090,0
440,96092,0
441,96094,0
442,96102,0
443,96104,1
444,96106,0
445,96108,0
446,96110,0
447,96112,0
448,96116,0
449,96120,0
450,96124,1
451,96132,0
452,96138,0
453,96154,0
454,96168,0
455,96174,0
456,96182,0
457,96188,0
458,96192,0
459,96196,1
460,96212,0
461,96216,0
462,96218,1
463,96220,0
464,96228,0
465,96240,0
466,96250,0
467,96258,0
468,96264,0
469,96268,0
470,96280,0
471,96284,0
472,96290,1
473,96294,0
474,96306,0
475,96310,0
476,96314,0
477,96316,0
478,96318,0
479,96332,0
480,96338,0
481,96342,0
482,96366,0
483,96392,0
484,96400,0
485,96414,0
486,96416,0
487,96424,0
488,96428,0
489,96436,0
490,96438,0
491,96440,0
492,96448,0
493,96468,1
494,96480,0
495,96488,1
496,96520,0
497,96522,1
498,96524,0
499,96526,1
500,96534,1
501,96548,1
502,96552,0
503,96570,1
504,96574,1
505,96576,1
506,96600,0
507,96622,0
508,96632,1
509,96644,1
510,96648,1
511,96672,1
512,96682,0
513,96686,0
514,96696,1
515,96720,1
516,96722,0
517,96726,0
518,96730,1
519,96740,0
520,96742,0
521,96746,0
522,96764,0
523,96768,0
524,96772,0
525,96774,0
526,96780,0
527,96782,1
528,96796,0
529,96800,0
530,96814,0
531,96826,0
532,96838,0
533,96840,0
534,96842,0
535,96864,0
536,96868,0
537,96882,0
538,96886,0
539,96906,0
540,96914,0
541,96936,0
542,96940,1
543,96946,0
544,96954,0
545,96970,0
546,96972,1
547,96992,0
548,97004,0
549,97018,1
550,97022,0
551,97036,0
552,97038,0
553,97052,0
554,97054,0
555,97058,1
556,97064,0
557,97084,1
558,97086,0
559,97090,0
560,97118,1
561,97130,1
562,97132,0
563,97136,1
564,97146,0
565,97150,0
566,97198,0
567,97202,0
568,97204,0
569,97208,0
570,97212,1
571,97226,0
572,97232,1
573,97254,0
574,97266,0
575,97270,0
576,97272,0
577,97296,1
578,97300,0
579,97304,0
580,97308,0
581,97310,0
582,97316,0
583,97322,1
584,97328,0
585,97330,0
586,97332,0
587,97348,0
588,97378,0
589,97388,0
590,97390,0
591,97392,0
592,97404,1
593,97428,0
594,97432,1
595,97444,1
596,97450,0
597,97454,0
598,97476,1
599,97480,0
600,97484,0
601,97502,0
602,97506,1
603,97524,0
604,97528,1
605,97548,0
606,97550,1
607,97554,0
608,97572,1
609,97596,0
610,97602,0
611,97630,0
612,97638,0
613,97662,0
614,97668,0
615,97672,0
616,97694,0
617,97714,1
618,97730,0
619,97778,1
620,97790,0
621,97796,0
622,97804,0
623,97810,0
624,97832,0
625,97848,0
626,97856,0
627,97866,1
628,97870,0
629,97890,0
630,97898,0
631,97904,1
632,97912,0
633,97934,0
634,97942,0
635,97944,0
636,97946,0
637,97956,0
638,97988,1
639,97998,0
640,98004,1
641,98012,0
642,98024,0
643,98026,0
644,98056,0
645,98058,0
646,98078,1
647,98104,0
648,98114,0
649,98122,0
650,98132,1
651,98138,0
652,98140,0
653,98154,0
654,98176,1
655,98190,1
656,98194,1
657,98196,1
658,98202,0
659,98210,0
660,98222,1
661,98224,0
662,98228,1
663,98230,0
664,98236,1
665,98238,0
666,98240,0
667,98244,1
668,98246,1
669,98256,0
670,98258,0
671,98264,0
672,98268,0
673,98272,0
674,98302,0
675,98304,0
676,98308,1
677,98310,0
678,98312,0
679,98316,0
680,98320,0
681,98322,1
682,98332,0
683,98336,0
684,98344,0
685,98356,0
686,98360,0
687,98362,1
688,98364,0
689,98366,1
690,98368,0
691,98390,1
692,98394,1
693,98410,1
694,98424,0
695,98426,1
696,98430,0
697,98440,0
698,98444,0
699,98446,0
700,98468,0
701,98478,1
702,98488,0
703,98494,0
704,98516,0
705,98518,1
706,98520,0
707,98526,1
708,98530,0
709,98532,1
710,98544,0
711,98548,0
712,98550,1
713,98556,1
714,98558,0
715,98560,1
716,98580,0
717,98592,1
718,98594,0
719,98612,0
720,98614,1
721,98618,0
722,98622,1
723,98630,0
724,98634,0
725,98646,1
726,98648,1
727,98652,0
728,98654,0
729,98676,0
730,98680,0
731,98700,0
732,98702,1
733,98704,0
734,98718,0
735,98726,0
736,98732,0
737,98740,0
738,98754,0
739,98756,0
740,98764,1
741,98766,0
742,98772,1
743,98796,0
744,98800,1
745,98824,0
746,98828,1
747,98840,0
748,98844,0
749,98880,0
750,98918,0
751,98948,0
752,98954,0
753,98958,0
754,98962,0
755,98988,0
756,98994,1
757,99014,1
758,99016,0
759,99022,0
760,99036,1
761,99046,0
762,99052,0
763,99056,0
764,99068,0
765,99074,0
766,99076,0
767,99080,0
768,99094,0
769,99098,0
770,99108,0
771,99114,0
772,99140,0
773,99156,1
774,99172,0
775,99180,0
776,99186,0
777,99192,0
778,99196,0
779,99210,1
780,99216,0
781,99224,1
782,99226,0
783,99264,0
784,99266,0
785,99274,0
786,99304,0
787,99306,0
788,99320,0
789,99334,0
790,99360,0
791,99362,0
792,99376,1
793,99378,1
794,99382,1
795,99396,0
796,99418,1
797,99420,0
798,99428,1
799,99462,0
800,99464,0
801,99484,0
802,99500,1
803,99506,0
804,99508,0
805,99510,0
806,99514,1
807,99528,0
808,99530,0
809,99536,0
810,99552,1
811,99556,0
812,99564,1
813,99566,0
814,99574,1
815,99586,0
816,99590,1
817,99606,0
818,99608,0
819,99614,1
820,99626,1
821,99630,0
822,99640,0
823,99646,0
824,99648,0
825,99650,1
826,99658,0
827,99662,0
828,99670,0
829,99678,1
830,99680,0
831,99704,1
832,99724,0
833,99732,0
834,99740,1
835,99744,0
836,99746,0
837,99758,1
838,99772,0
839,99782,0
840,99786,0
841,99790,0
842,99798,0
843,99814,1
844,99822,1
845,99826,0
846,99834,0
847,99844,0
848,99854,1
849,99862,0
850,99874,0
851,99884,0
852,99886,0
853,99910,1
854,99926,1
855,99930,0
856,99948,0
857,99954,0
858,99968,1
859,99992,0
860,100006,0
861,100014,1
862,100020,0
863,100030,0
864,100042,1
865,100052,0
866,100054,0
867,100072,0
868,100078,1
869,100108,0
870,100110,1
871,100154,1
872,100162,1
873,100176,0
874,100180,1
875,100196,0
876,100198,1
877,100202,0
878,100216,0
879,100218,0
880,100220,0
881,100252,0
882,100262,1
883,100264,0
884,100266,1
885,100276,0
886,100284,1
887,100310,1
888,100324,0
889,100326,0
890,100334,0
891,100340,1
892,100342,0
893,100344,1
894,100372,1
895,100392,1
896,100394,0
897,100398,1
898,100400,0
899,100418,0
900,100422,1
901,100424,1
902,100428,0
903,100430,0
904,100438,0
905,100440,0
906,100444,1
907,100448,0
908,100468,0
909,100472,0
910,100476,0
911,100478,1
912,100486,0
913,100488,1
914,100494,0
915,100520,0
916,100528,0
917,100532,1
918,100538,0
919,100544,0
920,100546,1
921,100556,0
922,100566,1
923,100578,0
924,100584,0
925,100590,0
926,100598,0
927,100600,0
928,100602,0
929,100604,0
930,100608,0
931,100614,0
932,100624,0
933,100626,0
934,100634,1
935,100640,1
936,100642,0
937,100648,1
938,100658,0
939,100670,0
940,100678,0
941,100680,1
942,100684,1
943,100690,0
944,100698,0
945,100700,0
946,100712,0
947,100716,0
948,100720,0
949,100744,0
950,100746,1
951,100750,1
952,100752,0
953,100754,0
954,100766,0
955,100782,0
956,100784,0
957,100788,0
958,100804,0
959,100806,0
960,100818,0
961,100824,0
962,100826,0
963,100834,0
964,100836,1
965,100846,1
966,100856,0
967,100860,1
968,100874,1
969,100878,1
970,100894,0
971,100900,1
972,100904,0
973,100914,0
974,100916,0
975,100920,0
976,100924,0
977,100926,0
978,100928,1
979,100930,0
980,100934,0
981,100940,0
982,100944,0
983,100946,0
984,100956,1
985,100958,0
986,100968,0
987,100972,0
988,100988,1
989,100998,0
990,101014,0
991,101016,0
992,101018,1
993,101024,0
994,101032,0
995,101038,0
996,101040,0
997,101048,1
998,101052,0
999,101066,1
1000,101068,0
1001,101072,0
1002,101074,1
1003,101076,1
1004,101084,1
1005,101088,0
1006,101106,0
1007,101110,0
1008,101114,0
1009,101124,1
1010,101128,0
1011,101138,0
1012,101148,1
1013,101162,0
1014,101166,0
1015,101172,0
1016,101176,0
1017,101178,1
1018,101190,0
1019,101200,0
1020,101210,0
1021,101234,0
1022,101240,1
1023,101250,0
1024,101282,0
1025,101286,0
1026,101296,0
1027,101312,0
1028,101342,0
1029,101352,0
1030,101356,0
1031,101358,0
1032,101362,0
1033,101376,0
1034,101396,0
1035,101414,0
1036,101420,0
1037,101422,0
1038,101426,0
1039,101430,0
1040,101440,0
1041,101454,0
1042,101462,0
1043,101466,0
1044,101476,0
1045,101484,1
1046,101488,0
1047,101490,0
1048,101502,1
1049,101512,0
1050,101516,0
1051,101522,0
1052,101534,1
1053,101540,0
1054,101572,0
1055,101574,0
1056,101584,0
1057,101586,1
1058,101598,0
1059,101606,0
1060,101608,1
1061,101610,1
1062,101624,0
1063,101638,0
1064,101648,0
1065,101662,1
1066,101666,1
1067,101668,0
1068,101670,1
1069,101676,1
1070,101680,1
1071,101696,1
1072,101704,0
1073,101712,1
1074,101714,0
1075,101722,0
1076,101724,0
1077,101728,0
1078,101738,0
1079,101744,0
1080,101774,1
1081,101804,0
1082,101822,1
1083,101838,0
1084,101854,0
1085,101858,0
1086,101882,0
1087,101884,0
1088,101886,0
1089,101890,1
1090,101892,1
1091,101896,0
1092,101900,0
1093,101902,0
1094,101904,0
1095,101908,0
1096,101910,1
1097,101912,1
1098,101934,0
1099,101936,0
1100,101938,0
1101,101954,0
1102,101964,0
1103,101968,0
1104,101982,1
1105,101984,1
1106,101988,0
1107,101992,0
1108,102002,0
1109,102006,1
1110,102010,0
1111,102016,0
1112,102018,0
1113,102020,0
1114,102044,0
1115,102048,1
1116,102050,0
1117,102052,0
1118,102060,1
1119,102070,0
1120,102078,0
1121,102098,0
1122,102118,0
1123,102134,1
1124,102136,0
1125,102140,1
1126,102146,0
1127,102152,0
1128,102156,0
1129,102162,0
1130,102164,0
1131,102170,0
1132,102178,0
1133,102180,0
1134,102188,0
1135,102192,1
1136,102194,0
1137,102196,0
1138,102204,0
1139,102206,0
1140,102216,0
1141,102226,1
1142,102228,1
1143,102230,1
1144,102240,0
1145,102244,0
1146,102252,1
1147,102254,0
1148,102274,0
1149,102278,0
1150,102282,0
1151,102284,0
1152,102296,0
1153,102308,0
1154,102310,1
1155,102312,0
1156,102314,0
1157,102326,0
1158,102338,0
1159,102340,1
1160,102352,1
1161,102362,1
1162,102378,1
1163,102390,0
1164,102392,1
1165,102410,1
1166,102412,0
1167,102414,0
1168,102420,1
1169,102434,1
1170,102454,0
1171,102462,0
1172,102464,0
1173,102476,1
1174,102482,0
1175,102484,0
1176,102492,0
1177,102508,0
1178,102514,0
1179,102522,1
1180,102528,0
1181,102546,0
1182,102568,1
1183,102570,0
1184,102572,1
1185,102574,1
1186,102576,0
1187,102584,0
1188,102596,1
1189,102598,0
1190,102614,0
1191,102622,0
1192,102624,0
1193,102628,0
1194,102630,1
1195,102632,0
1196,102636,0
1197,102640,1
1198,102654,0
1199,102656,0
1200,102664,1
1201,102666,0
1202,102668,0
1203,102670,1
1204,102672,0
1205,102680,0
1206,102684,0
1207,102692,1
1208,102694,0
1209,102696,0
1210,102706,1
1211,102712,0
1212,102716,0
1213,102732,0
1214,102734,0
1215,102736,0
1216,102740,1
1217,102748,0
1218,102752,1
1219,102756,0
1220,102780,0
1221,102790,0
1222,102794,1
1223,102796,0
1224,102800,0
1225,102814,0
1226,102830,0
1227,102832,0
1228,102914,1
1229,102928,1
1230,103058,1
1231,103072,1
1232,103080,1
1233,103084,0
1234,103106,1
1235,103110,0
1236,103112,0
1237,103116,0
1238,103118,0
1239,103120,1
1240,103126,1
1241,103130,0
1242,103132,0
1243,103134,1
1244,103140,0
1245,103142,0
1246,103150,0
1247,103158,0
1248,103164,0
1249,103166,0
1250,103172,0
1251,103214,0
1252,103216,0
1253,103218,0
1254,103228,0
1255,103230,0
1256,103232,1
1257,103236,0
1258,103252,0
1259,103268,0
1260,103278,0
1261,103282,0
1262,103298,0
1263,103312,0
1264,103348,0
1265,103354,1
1266,103362,1
1267,103364,0
1268,103366,0
1269,103374,1
1270,103376,1
1271,103380,1
1272,103390,0
1273,103404,0
1274,103408,0
1275,103422,1
1276,103434,1
1277,103436,0
1278,103440,1
1279,103446,0
1280,103462,1
1281,103472,0
1282,103480,0
1283,103486,0
1284,103488,0
1285,103500,0
1286,103510,0
1287,103514,1
1288,103522,0
1289,103542,1
1290,103546,0
1291,103558,0
1292,103560,0
1293,103568,0
1294,103572,0
1295,103574,0
1296,103578,0
1297,103592,0
1298,103604,1
1299,103610,0
1300,103620,0
1301,103622,1
1302,103624,1
1303,103626,0
1304,103634,0
1305,103638,0
1306,103648,1
1307,103658,0
1308,103666,1
1309,103688,0
1310,103692,0
1311,103704,0
1312,103710,0
1313,103726,0
1314,103754,0
1315,103758,1
1316,103762,0
1317,103774,0
1318,103792,0
1319,103802,0
1320,103816,0
1321,103818,0
1322,103824,0
1323,103838,0
1324,103844,1
1325,103860,0
1326,103862,0
1327,103872,0
1328,103886,1
1329,103908,1
1330,103910,0
1331,103912,0
1332,103914,1
1333,103918,1
1334,103922,1
1335,103930,0
1336,103932,0
1337,103946,1
1338,103952,1
1339,103956,0
1340,103964,0
1341,103966,0
1342,103974,1
1343,103982,0
1344,103984,0
1345,103996,0
1346,104022,1
1347,104024,0
1348,104034,0
1349,104044,1
1350,104046,1
1351,104052,1
1352,104062,0
1353,104066,1
1354,104068,1
1355,104070,0
1356,104082,0
1357,104084,0
1358,104088,0
1359,104120,0
1360,104124,0
1361,104128,0
1362,104146,0
1363,104152,0
1364,104160,0
1365,104164,0
1366,104168,0
1367,104170,0
1368,104176,0
1369,104200,0
1370,104202,1
1371,104208,0
1372,104216,1
1373,104220,1
1374,104232,0
1375,104238,0
1376,104242,0
1377,104248,1
1378,104250,0
1379,104252,1
1380,104264,0
1381,104306,1
1382,104310,0
1383,104314,0
1384,104316,0
1385,104342,0
1386,104358,0
1387,104360,0
1388,104364,0
1389,104370,1
1390,104378,0
1391,104404,0
1392,104432,1
1393,104444,1
1394,104446,1
1395,104454,1
1396,104456,0
1397,104494,1
1398,104498,1
1399,104500,0
1400,104518,0
1401,104522,1
1402,104526,0
1403,104556,0
1404,104560,0
1405,104576,0
1406,104584,1
1407,104590,0
1408,104598,0
1409,104600,0
1410,104604,0
1411,104606,0
1412,104618,0
1413,104626,0
1414,104640,1
1415,104644,1
1416,104656,0
1417,104658,1
1418,104682,0
1419,104688,0
1420,104692,0
1421,104698,0
1422,104702,0
1423,104704,1
1424,104706,1
1425,104728,1
1426,104730,0
1427,104736,0
1428,104744,1
1429,104746,0
1430,104752,0
1431,104754,0
1432,104758,0
1433,104764,0
1434,104766,1
1435,104774,1
1436,104780,0
1437,104782,0
1438,104790,0
1439,104800,0
1440,104808,0
1441,104810,0
1442,104812,1
1443,104814,0
1444,104826,1
1445,104832,0
1446,104840,0
1447,104842,0
1448,104854,0
1449,104860,0
1450,104864,0
1451,104898,0
1452,104904,0
1453,104908,0
1454,104910,0
1455,104912,0
1456,104920,1
1457,104924,0
1458,104944,0
1459,104948,0
1460,104954,0
1461,104966,0
1462,104982,1
1463,104990,0
1464,104994,0
1465,105002,0
1466,105024,0
1467,105030,1
1468,105034,0
1469,105038,0
1470,105046,0
1471,105052,1
1472,105058,0
1473,105062,0
1474,105074,0
1475,105080,0
1476,105102,0
1477,105110,0
1478,105118,0
1479,105124,0
1480,105130,0
1481,105134,0
1482,105138,0
1483,105148,0
1484,105158,0
1485,105166,0
1486,105176,0
1487,105178,0
1488,105180,0
1489,105188,0
1490,105204,0
1491,105210,1
1492,105212,0
1493,105216,0
1494,105226,0
1495,105240,0
1496,105242,0
1497,105246,0
1498,105248,1
1499,105264,0
1500,105274,0
1501,105282,0
1502,105292,1
1503,105300,0
1504,105322,0
1505,105328,0
1506,105330,0
1507,105336,0
1508,105346,1
1509,105352,0
1510,105368,1
1511,105378,0
1512,105388,0
1513,105400,0
1514,105414,0
1515,105426,0
1516,105432,0
1517,105444,0
1518,105446,1
1519,105456,1
1520,105462,1
1521,105472,0
1522,105478,0
1523,105482,0
1524,105488,0
1525,105490,0
1526,105494,0
1527,105506,0
1528,105510,0
1529,105516,0
1530,105524,1
1531,105526,0
1532,105530,0
1533,105532,0
1534,105540,0
1535,105544,1
1536,105550,0
1537,105552,0
1538,105556,0
1539,105560,0
1540,105562,0
1541,105568,1
1542,105576,0
1543,105578,0
1544,105580,0
1545,105590,0
1546,105598,0
1547,105600,0
1548,105610,1
1549,105614,1
1550,105622,0
1551,105632,0
1552,105646,0
1553,105650,0
1554,105660,0
1555,105670,0
1556,105704,0
1557,105720,1
1558,105724,0
1559,105732,1
1560,105740,0
1561,105744,1
1562,105746,0
1563,105748,1
1564,105754,0
1565,105774,1
1566,105788,0
1567,105790,0
1568,105792,1
1569,105794,0
1570,105800,0
1571,105802,0
1572,105804,0
1573,105806,0
1574,105812,0
1575,105814,0
1576,105818,0
1577,105820,0
1578,105822,1
1579,105830,1
1580,105840,0
1581,105842,1
1582,105846,0
1583,105850,0
1584,105856,0
1585,105858,0
1586,105862,0
1587,105864,0
1588,105898,1
1589,105902,1
1590,105904,0
1591,105918,1
1592,105938,0
1593,105940,1
1594,105942,0
1595,105946,0
1596,105948,0
1597,105950,1
1598,105956,0
1599,105958,1
1600,105960,0
1601,105962,0
1602,105968,0
1603,105976,0
1604,105978,0
1605,105982,0
1606,105990,1
1607,105996,0
1608,106004,1
1609,106006,0
1610,106028,0
1611,106042,1
1612,106046,1
1613,106054,0
1614,106072,0
1615,106076,1
1616,106080,0
1617,106084,0
1618,106088,1
1619,106116,0
1620,106126,0
1621,106132,1
1622,106144,1
1623,106146,0
1624,106148,0
1625,106150,1
1626,106166,0
1627,106168,0
1628,106174,0
1629,106178,0
1630,106188,0
1631,106200,1
1632,106206,0
1633,106208,0
1634,106218,0
1635,106220,1
1636,106222,0
1637,106224,1
1638,106242,0
1639,106248,0
1640,106250,0
1641,106254,0
1642,106256,0
1643,106276,0
1644,106290,1
1645,106292,1
1646,106294,0
1647,106296,0
1648,106300,1
1649,106304,1
1650,106308,0
1651,106314,1
1652,106316,0
1653,106334,1
1654,106352,1
1655,106356,0
1656,106366,0
1657,106368,1
1658,106374,1
1659,106382,0
1660,106384,0
1661,106392,0
1662,106396,0
1663,106418,0
1664,106422,0
1665,106434,0
1666,106448,0
1667,106456,0
1668,106460,0
1669,106468,0
1670,106474,0
1671,106482,0
1672,106484,0
1673,106486,0
1674,106490,0
1675,106496,0
1676,106502,1
1677,106514,0
1678,106522,0
1679,106528,0
1680,106532,0
1681,106542,0
1682,106544,0
1683,106556,0
1684,106574,0
1685,106582,0
1686,106586,0
1687,106590,0
1688,106596,0
1689,106604,0
1690,106630,0
1691,106634,0
1692,106636,1
1693,106638,0
1694,106652,0
1695,106672,0
1696,106676,0
1697,106680,0
1698,106694,1
1699,106706,0
1700,106716,1
1701,106718,1
1702,106740,0
1703,106762,0
1704,106766,0
1705,106784,0
1706,106804,0
1707,106820,0
1708,106844,0
1709,106856,0
1710,106866,0
1711,106872,0
1712,106880,0
1713,106882,0
1714,106884,0
1715,106892,0
1716,106896,0
1717,106900,0
1718,106902,0
1719,106914,0
1720,106926,0
1721,106936,0
1722,106942,0
1723,106946,0
1724,106954,0
1725,106976,0
1726,106978,0
1727,106980,0
1728,106986,0
1729,107014,0
1730,107016,0
1731,107018,0
1732,107024,0
1733,107026,1
1734,107028,0
1735,107036,0
1736,107044,0
1737,107054,0
1738,107064,0
1739,107078,0
1740,107082,0
1741,107090,0
1742,107094,0
1743,107096,0
1744,107102,0
1745,107104,0
1746,107110,0
1747,107114,0
1748,107136,0
1749,107146,0
1750,107150,0
1751,107154,1
1752,107160,0
1753,107166,1
1754,107174,0
1755,107178,0
1756,107188,0
1757,107196,0
1758,107202,0
1759,107226,1
1760,107236,0
1761,107238,0
1762,107242,1
1763,107252,0
1764,107258,0
1765,107268,0
1766,107270,0
1767,107296,0
1768,107302,0
1769,107304,0
1770,107310,0
1771,107324,0
1772,107340,0
1773,107346,1
1774,107348,0
1775,107356,1
1776,107362,1
1777,107370,0
1778,107374,1
1779,107376,0
1780,107416,0
1781,107418,0
1782,107422,0
1783,107430,0
1784,107432,0
1785,107440,0
1786,107442,0
1787,107452,1
1788,107470,0
1789,107484,0
1790,107514,1
1791,107530,1
1792,107532,0
1793,107544,0
1794,107566,0
1795,107572,1
1796,107574,0
1797,107582,0
1798,107584,1
1799,107604,0
1800,107608,0
1801,107610,0
1802,107620,1
1803,107636,0
1804,107644,0
1805,107664,0
1806,107670,0
1807,107686,0
1808,107710,0
1809,107716,0
1810,107718,1
1811,107730,0
1812,107740,0
1813,107756,0
1814,107810,0
1815,107838,0
1816,107840,0
1817,107846,0
1818,107854,0
1819,107860,0
1820,107872,1
1821,107892,0
1822,107906,1
1823,107918,0
1824,107930,0
1825,107938,0
1826,107942,0
1827,107944,0
1828,107952,0
1829,107960,0
1830,107966,0
1831,107974,0
1832,107978,0
1833,107982,0
1834,107996,1
1835,108000,0
1836,108008,1
1837,108022,1
1838,108038,0
1839,108050,0
1840,108062,0
1841,108072,0
1842,108078,1
1843,108088,0
1844,108092,0
1845,108112,1
1846,108120,0
1847,108174,0
1848,108188,0
1849,108198,1
1850,108210,0
1851,108222,0
1852,108256,1
1853,108260,0
1854,108296,1
1855,108298,0
1856,108300,0
1857,108306,0
1858,108312,1
1859,108314,0
1860,108330,1
1861,108344,0
1862,108354,0
1863,108364,0
1864,108398,0
1865,108400,0
1866,108424,1
1867,108470,1
1868,108488,0
1869,108490,0
1870,108502,0
1871,108516,0
